mode,invocation_id,runtime_sec,context_load_sec,library_setup_sec,compute_sec,start_wall_time,end_wall_time,checksum,completion_sec,workers
L2,36,0.017515597000056005,0.0050592749998941144,0.0,0.0013554480001403135,1781386830.3262172,1781386830.343735,0.03162277660165226,5.470138072967529,1
L2,37,0.016044016999785526,0.0037525279999499617,0.0,0.0013444060000438185,1781386830.4753942,1781386830.49144,0.031622776601652004,5.617843151092529,1
L2,38,0.018726123999840638,0.005655769999975746,0.0,0.0013975229999232397,1781386830.6255076,1781386830.6442354,0.031622776601652164,5.770638465881348,1
L2,39,0.016019566000068153,0.0037645859997610387,0.0,0.001323693999893294,1781386830.7722182,1781386830.7882397,0.03162277660165194,5.914642810821533,1
L2,40,0.015870120999807114,0.0036455389999900945,0.0,0.0013540620002459036,1781386830.9159205,1781386830.9317927,0.03162277660165227,6.0581958293914795,1
L2,41,0.017980212999646028,0.004780033000315598,0.0,0.001386652000292088,1781386831.065811,1781386831.0837932,0.03162277660165202,6.210196256637573,1
L2,42,0.01666429600027186,0.00407552599972405,0.0,0.0014025119999132585,1781386831.216099,1781386831.2327654,0.0316227766016521,6.359168529510498,1
L2,43,0.016071909999936906,0.0037128549997760274,0.0,0.0013761300001533527,1781386831.3674967,1781386831.3835707,0.03162277660165232,6.509973764419556,1
L2,44,0.01777658299988616,0.003968239999721845,0.0,0.0013765790004072187,1781386831.5183055,1781386831.536084,0.03162277660165214,6.662487030029297,1
L2,45,0.016718858999865915,0.00372828900026434,0.0,0.0013882830003240088,1781386831.6705136,1781386831.6872342,0.03162277660165209,6.8136372566223145,1
L2,46,0.016080378999959066,0.0036619309998968674,0.0,0.0013625629999296507,1781386831.8183777,1781386831.83446,0.03162277660165256,6.96086311340332,1
L2,47,0.018117188999895006,0.004232642000260967,0.0,0.0013867719999325345,1781386831.9718204,1781386831.98994,0.03162277660165203,7.116343021392822,1
L2,48,0.016351494999980787,0.004159340000114753,0.0,0.001362280000194005,1781386832.124143,1781386832.140496,0.031622776601651865,7.266899108886719,1
L2,49,0.01895175899971946,0.004373794999992242,0.0,0.0015030780000415689,1781386832.271616,1781386832.29057,0.03162277660165208,7.416973114013672,1
